[rosmaster.main][INFO] 2021-04-01 16:58:12,989: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-04-01 16:58:12,989: Starting ROS Master Node
[xmlrpc][INFO] 2021-04-01 16:58:12,992: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-04-01 16:58:12,992: Started XML-RPC server [http://ivsr-nano-desktop:11311/]
[rosmaster.master][INFO] 2021-04-01 16:58:12,993: Master initialized: port[11311], uri[http://ivsr-nano-desktop:11311/]
[xmlrpc][INFO] 2021-04-01 16:58:12,993: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-04-01 16:58:13,121: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,125: +PARAM [/roslaunch/uris/host_ivsr_nano_desktop__37909] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,318: +PARAM [/mavros/mission/use_mission_item_int] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,319: +SERVICE [/rosout/get_loggers] /rosout http://ivsr-nano-desktop:35321/
[rosmaster.master][INFO] 2021-04-01 16:58:13,320: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,320: +PARAM [/mavros/landing_target/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,321: +SERVICE [/rosout/set_logger_level] /rosout http://ivsr-nano-desktop:35321/
[rosmaster.master][INFO] 2021-04-01 16:58:13,322: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,324: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,324: +PARAM [/mavros/wheel_odometry/tf/send] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,325: +PUB [/rosout_agg] /rosout http://ivsr-nano-desktop:35321/
[rosmaster.master][INFO] 2021-04-01 16:58:13,325: +PARAM [/mavros/odometry/fcu/odom_child_id_des] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,326: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,328: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,329: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 16:58:13,329: +PARAM [/mavros/target_component_id] by /roslaunch
