[rosmaster.main][INFO] 2021-04-01 17:06:43,152: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-04-01 17:06:43,153: Starting ROS Master Node
[xmlrpc][INFO] 2021-04-01 17:06:43,154: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-04-01 17:06:43,155: Started XML-RPC server [http://ivsr-nano-desktop:11311/]
[rosmaster.master][INFO] 2021-04-01 17:06:43,155: Master initialized: port[11311], uri[http://ivsr-nano-desktop:11311/]
[xmlrpc][INFO] 2021-04-01 17:06:43,156: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-04-01 17:06:43,266: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,270: +PARAM [/roslaunch/uris/host_ivsr_nano_desktop__35033] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,463: +PARAM [/mavros/mission/use_mission_item_int] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,463: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,463: +PARAM [/mavros/landing_target/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,464: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,464: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,465: +SERVICE [/rosout/get_loggers] /rosout http://ivsr-nano-desktop:43353/
[rosmaster.master][INFO] 2021-04-01 17:06:43,465: +PARAM [/mavros/wheel_odometry/tf/send] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,466: +SERVICE [/rosout/set_logger_level] /rosout http://ivsr-nano-desktop:43353/
[rosmaster.master][INFO] 2021-04-01 17:06:43,467: +PARAM [/mavros/odometry/fcu/odom_child_id_des] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,468: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2021-04-01 17:06:43,469: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
